,track_id,track_name,artist_name,lyrics
0,265388010,Stumblin' In,Cyril,"Our love is alive, and so we begin
Foolishly laying our hearts on the table, stumblin' in
Our love is a flame, burning within
Now and then, firelight will catch us stumblin' in

Wherever you go, whatever you do
You know these reckless thoughts of mine are following you
I've fallen for you, whatever you do
'Cause baby, you've shown me so many things that I never knew
Whatever it takes, baby, I'll do it for you
...

******* This Lyrics is NOT for Commercial use *******
(1409621126359)"
1,259898603,Vois sur ton chemin (Techno Mix),BENNETT,"Vois sur ton chemin
Gamins oubliés, égarés
Donne-leur la main
Pour les mener
Vers d'autres lendemains
(Donne-leur la main pour les mener)
(Vers d'autres lendemains)

Sens, au cœur de la nuit (au coeur de la nuit)
L'onde d'espoir, ardeur de la vie
Sentier de gloire
(Ardeur de la vie, de la vie)
(Sentier de gloire, sentier de gloire)

Bonheurs enfantins
Trop vite oubliés, effacés
Une lumière dorée brille sans fin
Tout au bout du chemin
(Vite oubliés, effacés)
(Une lumière dorée brille sans fin)

Sens, au cœur de la nuit (au coeur de la nuit)
L'onde d'espoir
Sens, au cœur de la nuit (au coeur de la nuit)
L'onde d'espoir
Sens, au cœur de la nuit (au coeur de la nuit)
...

******* This Lyrics is NOT for Commercial use *******
(1409621126359)"
2,272421778,Whatever,Kygo feat. Ava Max,"There's a space in my heart
When it all comes crashing down
Anytime I hear your name out in public

There's a place that I go
Every time that you're in town
It's just me and the knots in my stomach

And it's true
It wasn't easy getting over you
But that's just what I had to do

Whatever, whatever
We were never good together
I'll be here and you stay there
Truth is I never cared

Whatever, whatever
Two years, that ain't forever
I'll be here and you stay there
Won't see me cry no tears

Whatever, whatever
...

******* This Lyrics is NOT for Commercial use *******
(1409621126359)"
3,263857808,Overdrive (feat. Norma Jean Martine),Ofenbach feat. Norma Jean Martine,"I wanna feel the heat, I wanna own the night
I wanna feel the beat, I wanna dance tonight
I wanna lose myself, I wanna come alive
I wanna feel the love, go into overdrive

I wanna feel the heat, I wanna own the night
I wanna feel the beat, I wanna dance tonight
I wanna lose myself, I wanna come alive
I wanna feel the love, I wanna go into overdrive
Into overdrive (oh)

Mm
...

******* This Lyrics is NOT for Commercial use *******
(1409621126359)"
4,265259301,Houdini,Dua Lipa,"Okay, huh, mm, ah

I come and I go
Tell me all the ways you need me
I'm not here for long
Catch me or I go Houdini
I come and I go
Prove you got the right to please me
Everybody knows
Catch me or I go Houdini

Time is passin' like a solar eclipse
See you watchin' and you blow me a kiss
It's your moment, baby, don't let it slip
Come in closer, are you readin' my lips?

They say I come and I go
Tell me all the ways you need me
I'm not here for long
Catch me or I go Houdini
I come and I go
...

******* This Lyrics is NOT for Commercial use *******
(1409621126359)"
5,253266374,Komet,Udo Lindenberg feat. Apache 207,"Da-da-da
Da-dei, da-da

Ich hör die Möwen sing'n am Hafen
Das letzte Lied zum Rausschmiss
Zähl schon lang nicht mehr die Jahre
Die ich im dichten Rauch sitz

Hier war vorher mal 'ne andre Bar
Doch der Schnaps schmeckt noch genauso
Und wenn ich irgendwo zu Hause war
Dann immer dort, wo der Applaus tobt

Und wenn ich geh, dann so, wie ich gekommen bin
Wie ein Komet, der zweimal einschlägt
Vielleicht tut es weh, doch will auf Nummer sicher geh'n
Dass ich für immer leb, lass uns nochmal aufdreh'n
...

******* This Lyrics is NOT for Commercial use *******
(1409621126359)"
6,258292930,Lose Control,Teddy Swims,"Something's got a hold of me lately
No, I don't know myself anymore
Feels like the walls are all closing in
And the devil's knocking at my door, whoa

Out of my mind, how many times
Did I tell you I'm no good at being alone?
Yeah, it's taking a toll on me, trying my best to keep
From tearing the skin off my bones, don't you know

I lose control
When you're not next to me
I'm falling apart right in front of you, can't you see?
I lose control
When you're not next to me, mm-hmm
...

******* This Lyrics is NOT for Commercial use *******
(1409621126359)"
7,272421794,One By One (feat. Oaks),Robin Schulz feat. Topic & Oaks,"Come keep me up, this one's for us
Pour up the memories one by one

Late night in the city, lucid fever dream
Neon lights all up and down the street
Young love in the backseat, we got all we need
Dancing in the dark to your heartbeat, heartbeat

Come keep me up, our night is young
Pour up the memories one by one
Come keep me up, this one's for us
Pour up the memories one by one
...

******* This Lyrics is NOT for Commercial use *******
(1409621126359)"
8,263060846,Dreaming,P!nk,"Will you stay with me? Will you be my love
As the days get longer?
Will you follow me? Never let me go?

Let's keep dreamin'
Dreamin' as the sun goes down
Stars are dancin'
Dancin' as the world turns 'round

When it's said and done, I'll keep holdin' on
Even in the silence
I can hear your voice through all of the noise
Yeah, yeah

We'll keep dreamin'
...

******* This Lyrics is NOT for Commercial use *******
(1409621126359)"
9,265274694,Lovin On Me,Jack Harlow,"I don't like no whips and chains, and you can't tie me down
But you can whip your lovin' on me, baby
Whip your lovin' on me, baby

I'm vanilla, baby (I don't like no whips and chains, and you can't tie me down)
I'll choke you, but I ain't no killer, baby
She 28 tellin' me I'm still a baby (but you can whip your lovin' on me, baby)
I get love in Detroit like Skilla Baby (whip your lovin' on me, baby)
And the thing about your boy is
I don't like no whips and chains, and you can't tie me down
But you can whip your lovin' on me, baby (that's right, that's right)
Whip your lovin' on me, baby

Young J-A-C-K, AKA
Rico like Suave, Young Enrique
Speakin' of AKA, she's an alpha
But not around your boy, she get quiet 'round your boy, hold on (shh)
Don't know what you heard or what you thought about your boy
But they lied about your boy, goin' dumb, and it's somethin' idiotic 'bout your boy
She wearing cheetah print, that's how bad she wanna be spotted 'round your boy

...

******* This Lyrics is NOT for Commercial use *******
(1409621126359)"
